Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,7.50,8.06,7.08,7.34,20379500,7.34
2014-02-03,6.85,7.81,6.64,7.58,21529300,7.58
2014-01-02,8.03,8.20,6.81,6.92,24457300,6.92
2013-12-02,8.00,8.18,7.31,8.11,21889900,8.11
2013-11-01,7.62,8.18,7.42,8.06,25283300,8.06
2013-10-01,6.66,7.77,6.22,7.63,37682700,7.63
2013-09-03,5.45,6.78,4.97,6.51,88103100,6.51
2013-08-01,3.98,4.22,3.87,3.90,17484600,3.90
2013-07-01,3.95,4.29,3.81,3.94,25922800,3.94
2013-06-03,3.44,4.12,3.42,3.74,32003900,3.74
2013-05-01,3.38,3.92,3.25,3.44,32998700,3.44
2013-04-01,3.30,3.63,3.02,3.38,38272800,3.38
2013-03-01,3.57,3.76,3.19,3.28,47446700,3.28
2013-02-01,4.02,4.17,3.54,3.65,46442100,3.65
2013-01-02,4.18,4.90,3.67,3.92,83765100,3.92
2012-12-03,3.29,4.35,3.24,3.95,62302700,3.95
2012-11-01,2.76,3.59,2.60,3.26,50389100,3.26
2012-10-01,2.59,2.95,2.52,2.67,41682000,2.67
2012-09-04,2.90,3.14,2.27,2.58,73310600,2.58
2012-08-01,2.43,3.39,2.17,2.82,60390600,2.82
2012-07-02,2.11,2.41,1.63,2.41,48828400,2.41
2012-06-01,2.65,3.03,2.04,2.07,43278400,2.07
2012-05-01,3.69,3.75,2.63,2.67,38218000,2.67
2012-04-02,5.40,5.52,3.54,3.65,52331900,3.38
2012-03-01,5.31,5.57,4.90,5.49,31303200,5.08
2012-02-01,5.10,5.87,4.95,5.29,31360200,4.90
2012-01-03,5.17,5.78,4.93,5.04,39425500,4.67
2011-12-01,5.80,5.82,4.46,4.82,27418400,4.46
2011-11-01,6.25,6.91,5.27,5.79,29432100,5.36
2011-10-03,5.72,7.38,5.10,6.73,34491400,6.23
2011-09-01,6.69,6.84,5.13,5.66,26572800,5.24
2011-08-01,5.79,6.59,4.82,6.44,42548500,5.96
2011-07-01,6.39,6.49,5.31,5.80,33514900,5.37
2011-06-01,6.51,7.03,5.79,6.42,49485600,5.94
2011-05-02,9.32,9.38,6.79,7.02,36256200,6.50
2011-04-01,8.44,9.42,8.26,9.23,26056600,8.04
2011-03-01,8.73,8.81,7.73,8.51,21970700,7.42
2011-02-01,10.58,11.75,8.44,8.63,47972100,7.52
2011-01-03,10.58,11.02,10.20,10.70,22965000,9.33
2010-12-01,9.50,10.39,9.49,10.32,14870200,8.99
2010-11-01,10.52,10.88,9.08,9.23,24190100,8.04
2010-10-01,10.31,11.62,9.98,10.70,28438500,9.33
2010-09-01,8.81,10.29,8.76,10.03,29890800,8.74
2010-08-02,9.61,9.73,8.47,8.56,20226700,7.46
2010-07-01,8.43,9.59,8.21,9.51,27636100,8.29
2010-06-01,10.05,10.27,8.00,8.15,37269400,7.10
2010-05-03,12.22,12.28,9.64,10.12,38624000,8.82
2010-04-01,15.81,15.89,11.93,12.16,38614300,10.07
2010-03-01,13.30,15.65,13.23,15.54,19215000,12.87
2010-02-01,13.98,14.43,12.73,13.47,22293100,11.15
2010-01-04,13.26,14.47,12.52,13.69,32440900,11.34
2009-12-01,13.56,13.60,12.14,12.85,15107100,10.64
2009-11-02,12.77,14.04,12.56,13.26,18343600,10.98
2009-10-01,14.41,15.60,12.59,12.61,29901900,10.44
2009-09-01,13.61,16.00,13.15,14.62,24669500,12.11
2009-08-03,13.51,14.27,12.10,14.01,18776500,11.60
2009-07-01,14.92,15.77,12.54,13.34,29759300,11.05
2009-06-01,15.95,16.58,14.01,14.58,19299400,12.07
2009-05-01,13.73,15.65,13.42,15.30,16806400,12.67
2009-04-01,11.48,15.13,11.46,14.14,21311700,11.71
2009-03-02,9.11,12.36,8.47,11.67,23077000,9.32
2009-02-02,12.13,13.54,9.22,9.36,28607800,7.48
2009-01-02,15.57,16.38,11.73,12.27,22248100,9.80
2008-12-01,13.52,16.73,12.87,15.60,15814500,12.46
2008-11-03,15.70,17.05,12.08,14.17,22736500,11.32
