Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,17.20,19.25,16.92,19.12,2472400,19.12
2014-02-03,15.60,17.66,15.23,17.55,3293000,17.55
2014-01-02,17.33,18.32,15.55,15.75,3498300,15.75
2013-12-02,18.49,18.75,17.03,17.29,1946800,17.29
2013-11-01,17.01,19.16,16.52,18.30,3836100,18.30
2013-10-01,21.38,21.50,16.66,17.25,3142900,17.25
2013-09-03,20.40,21.94,20.36,21.52,2255600,21.52
2013-08-01,21.93,22.25,19.53,19.96,2296500,19.96
2013-07-01,21.50,23.10,20.72,21.04,2419800,21.04
2013-06-03,19.40,21.60,18.59,21.19,4779600,21.19
2013-05-01,16.27,23.38,16.20,20.15,7785000,20.15
2013-04-01,16.87,17.51,16.09,16.43,2818300,16.43
2013-03-01,14.98,18.06,14.85,17.40,3973100,17.40
2013-02-01,14.71,15.93,13.75,14.58,3874600,14.58
2013-01-02,11.46,15.49,10.59,14.94,5321400,14.94
2012-12-03,9.72,11.30,9.57,11.20,2277700,11.20
2012-11-01,11.69,11.97,9.59,9.74,2877900,9.74
2012-10-01,11.86,12.40,11.30,11.74,1560200,11.74
2012-09-04,11.33,13.60,11.02,11.70,2539900,11.70
2012-08-01,12.11,12.40,10.91,11.31,1823800,11.31
2012-07-02,14.18,14.31,11.21,12.15,1461400,12.15
2012-06-01,12.75,14.47,12.63,14.24,1749500,14.24
2012-05-01,15.85,16.07,12.97,13.24,2081800,13.24
2012-04-02,20.56,20.83,16.11,16.21,2090400,16.21
2012-03-01,21.49,22.05,20.01,20.77,1395800,20.77
2012-02-01,18.06,22.35,16.85,21.39,1848000,21.39
2012-01-03,18.28,18.75,16.75,18.22,1066400,18.22
2011-12-01,17.98,18.61,16.67,18.04,1347600,18.04
2011-11-01,19.80,20.10,16.16,18.05,1606800,18.05
2011-10-03,18.81,22.49,18.10,20.97,1365200,20.97
2011-09-01,22.07,22.22,18.39,19.00,1133100,19.00
2011-08-01,25.33,25.56,20.14,21.95,1734100,21.95
2011-07-01,26.42,27.32,24.93,25.10,883300,25.10
2011-06-01,26.86,26.86,24.21,26.39,1071400,26.39
2011-05-02,28.69,29.10,25.90,26.74,1167300,26.74
2011-04-01,31.82,32.09,27.85,28.31,1322200,28.31
2011-03-01,36.72,36.81,28.95,31.83,1377900,31.83
2011-02-01,34.61,36.97,34.49,36.84,890900,36.84
2011-01-03,36.17,36.49,34.06,34.34,805300,34.34
2010-12-01,36.21,36.88,35.07,35.71,639500,35.71
2010-11-01,32.93,35.66,32.37,35.48,965700,35.48
2010-10-01,30.80,34.26,30.23,33.84,960300,33.84
2010-09-01,28.35,31.63,28.34,30.92,857600,30.92
2010-08-02,31.95,32.19,27.86,27.99,894700,27.99
2010-07-01,26.22,32.09,25.85,31.22,1487000,31.22
2010-06-01,30.47,30.95,26.58,26.68,1508000,26.68
2010-05-03,34.29,34.70,29.85,30.78,1592200,30.78
2010-04-01,38.49,38.67,34.16,34.22,925500,34.22
2010-03-01,34.40,40.45,34.40,38.32,944200,38.32
2010-02-01,34.00,35.59,32.94,34.11,1008100,34.11
2010-01-04,29.52,34.99,29.50,33.23,1108500,33.23
2009-12-01,27.10,29.58,26.76,29.00,678700,29.00
2009-11-02,29.00,29.51,26.25,26.69,930200,26.69
2009-10-01,28.70,30.82,26.63,29.39,1328500,29.39
2009-09-01,26.60,30.15,25.98,29.20,988700,29.20
2009-08-03,28.25,29.00,26.06,26.74,905200,26.74
2009-07-01,25.97,28.21,23.60,27.96,1173900,27.96
2009-06-01,26.92,28.22,25.19,25.86,979700,25.86
2009-05-01,26.01,28.09,25.27,26.23,1415500,26.23
2009-04-01,21.50,26.94,21.27,25.86,1901100,25.86
2009-03-02,16.86,22.97,16.22,20.63,2339200,20.63
2009-02-02,19.22,21.14,15.64,16.56,2217000,16.56
2009-01-02,21.80,24.32,18.82,19.22,2254400,19.22
2008-12-01,19.07,21.89,18.09,21.87,1506900,21.87
2008-11-03,23.37,25.50,18.14,19.38,1687400,19.38
2008-10-01,30.40,30.64,19.12,23.24,2446100,23.24
2008-09-02,37.53,38.52,29.71,30.87,1121600,30.87
2008-08-01,37.80,40.15,36.90,38.20,615900,37.86
2008-07-01,43.00,43.65,37.20,37.67,1067600,37.34
2008-06-02,51.77,52.36,43.11,43.74,1059400,43.35
2008-05-01,46.02,50.81,44.55,50.39,873000,49.95
2008-04-01,41.07,46.39,39.52,45.79,858800,45.39
2008-03-03,46.48,47.48,39.91,40.07,1228700,39.72
2008-02-01,45.57,50.00,42.73,47.21,1406100,46.79
2008-01-02,54.30,57.19,45.53,47.50,1658000,47.08
2007-12-03,54.40,56.75,52.61,54.30,829500,53.82
2007-11-01,50.20,55.56,46.48,53.97,1017900,53.49
2007-10-01,48.20,51.28,44.57,49.46,988600,49.02
2007-09-04,48.35,49.90,45.54,48.06,853100,47.64
2007-08-01,51.84,52.42,43.86,47.78,1254000,47.25
2007-07-02,52.60,54.12,50.32,52.74,944600,52.15
2007-06-01,57.20,57.33,50.44,51.37,953700,50.80
2007-05-01,52.94,59.84,52.51,57.70,776600,57.06
2007-04-02,50.27,55.54,49.77,53.26,882800,52.67
2007-03-01,51.60,53.24,48.28,50.49,1205400,49.93
2007-02-01,47.14,53.34,47.13,51.73,1437100,51.05
2007-01-03,42.90,48.01,42.73,46.33,1746600,45.72
2006-12-01,39.73,43.78,39.27,42.83,1018000,42.27
2006-11-01,41.40,41.40,38.50,39.41,1295000,38.89
2006-10-02,39.87,42.37,37.24,40.98,1793400,40.44
2006-09-01,43.50,44.09,40.27,40.36,703900,39.83
2006-08-01,45.20,46.17,42.26,43.41,691200,42.73
2006-07-03,43.79,46.40,39.30,45.99,770500,45.27
2006-06-01,43.91,46.90,40.67,44.04,846400,43.35
2006-05-01,48.60,50.88,44.75,45.17,596500,44.46
2006-04-03,46.95,52.29,45.70,48.94,654400,48.17
2006-03-01,47.00,48.01,44.39,46.07,794000,45.35
2006-02-01,47.55,49.95,45.57,46.88,953800,46.03
2006-01-03,41.25,51.16,40.90,48.90,1763500,48.02
2005-12-01,37.18,41.30,36.20,40.80,731400,40.06
2005-11-01,32.91,37.46,32.45,37.01,602000,36.34
2005-10-03,33.08,34.63,31.80,32.80,584300,32.21
2005-09-01,33.52,36.74,33.00,33.19,788200,32.59
2005-08-01,32.65,34.59,32.57,33.62,576900,32.90
2005-07-01,34.64,35.83,32.38,32.51,836900,31.82
2005-06-01,37.16,37.63,34.38,34.44,813500,33.70
2005-05-02,37.25,38.45,36.30,37.27,627600,36.47
2005-04-01,39.95,40.79,35.77,36.71,1009800,35.93
2005-03-01,38.04,41.81,37.85,40.02,1856400,39.16
2005-02-01,36.90,38.31,36.46,37.79,553100,36.98
2005-01-03,38.96,39.53,36.26,37.02,936000,36.23
